Step;Precision;Recall;
0,01;0,4939;0,56667;
0,02;0,4939;0,56667;
0,03;0,4939;0,56667;
0,04;0,77255;0,32448;
0,05;0,77255;0,32448;
0,06;0,81852;0,26403;
0,07;0,69852;0,28583;
0,08;0,69852;0,28583;
0,09;0,7005;0,31694;
0,10;0,65217;0,30444;
0,11;0,63464;0,32859;
0,12;0,63566;0,36764;
0,13;0,68622;0,37653;
0,14;0,6864;0,36056;
0,15;0,66865;0,31458;
0,16;0,66598;0,32569;
0,17;0,66501;0,3331;
0,18;0,71;0,28998;
0,19;0,7022;0,2995;
0,20;0,7054;0,32183;
0,21;0,75512;0,40119;
0,22;0,75132;0,40119;
0,23;0,80655;0,32791;
0,24;0,80448;0,32791;
0,25;0,82675;0,34186;
0,26;0,82483;0,3463;
0,27;0,83546;0,35741;
0,28;0,85234;0,33098;
0,29;0,91685;0,35722;
0,30;0,91685;0,35722;
0,31;0,92618;0,36833;
0,32;0,92618;0,36833;
0,33;0,92618;0,36833;
0,34;0,90957;0,34538;
0,35;0,90957;0,34538;
0,36;0,91565;0,3237;
0,37;0,92444;0,36133;
0,38;0,92444;0,36133;
0,39;0,92444;0,36133;
0,40;0,92444;0,36133;
0,41;0,92187;0,30732;
0,42;0,91344;0,3267;
0,43;0,92034;0,31974;
0,44;0,92493;0,32148;
0,45;0,92802;0,32271;
0,46;0,93686;0,292;
0,47;0,92996;0,27959;
0,48;0,92996;0,27959;
0,49;0,92871;0,27959;
0,50;0,92871;0,27959;
0,51;0,96195;0,26391;
0,52;0,94436;0,27674;
0,53;0,94627;0,26521;
0,54;0,94627;0,26521;
0,55;0,95048;0,26032;
0,56;0,96134;0,24186;
0,57;0,97165;0,25108;
0,58;0,97263;0,24242;
0,59;0,975;0,23508;
0,60;0,975;0,23508;
0,61;0,97847;0,26508;
0,62;0,97847;0,26508;
0,63;0,98522;0,27035;
0,64;0,98512;0,2619;
0,65;0,98557;0,25397;
0,66;0,98557;0,25397;
0,67;0,98557;0,25397;
0,68;0,98557;0,25397;
0,69;0,98677;0,2328;
0,70;0,98677;0,2328;
0,71;0,99792;0,23938;
0,72;0,99792;0,23938;
0,73;0,99802;0,21088;
0,74;0,99806;0,20598;
0,75;0,99806;0,20598;
0,76;0,99789;0,20598;
0,77;0,99793;0,2013;
0,78;0,99798;0,19683;
0,79;0,99798;0,19683;
0,80;0,99802;0,19255;
0,81;0,99807;0,18845;
0,82;1;0,19149;
0,83;1;0,1875;
0,84;1;0,18367;
0,85;1;0,18;
0,86;1;0,18;
0,87;1;0,16667;
0,88;1;0,16667;
0,89;1;0,16071;
0,90;1;0,15789;
0,91;1;0,15254;
0,92;1;0,15254;
0,93;1;0,15;
0,94;1;0,15;
0,95;1;0,14062;
0,96;1;0,13846;
0,97;1;0,13433;
0,98;1;0,12857;
0,99;1;0,12857;
1,00;1;0,12857;
