Step;Precision;Recal;
0,01;1;1;
0,02;1;1;
0,03;1;1;
0,04;1;0,81818;
0,05;1;0,69231;
0,06;1;0,64286;
0,07;1;0,64286;
0,08;1;0,64286;
0,09;1;0,64286;
0,10;1;0,6;
0,11;1;0,5625;
0,12;1;0,52941;
0,13;1;0,52941;
0,14;1;0,52941;
0,15;1;0,52941;
0,16;1;0,5;
0,17;1;0,5;
0,18;1;0,5;
0,19;1;0,47368;
0,20;1;0,45;
0,21;1;0,45;
0,22;1;0,42857;
0,23;1;0,40909;
0,24;1;0,40909;
0,25;1;0,3913;
0,26;1;0,3913;
0,27;1;0,3913;
0,28;1;0,3913;
0,29;1;0,36;
0,30;1;0,34615;
0,31;1;0,32143;
0,32;1;0,31034;
0,33;1;0,31034;
0,34;1;0,29032;
0,35;1;0,29032;
0,36;1;0,29032;
0,37;1;0,27273;
0,38;1;0,27273;
0,39;1;0,27273;
0,40;1;0,27273;
0,41;1;0,25714;
0,42;1;0,25;
0,43;1;0,25;
0,44;1;0,25;
0,45;1;0,225;
0,46;1;0,225;
0,47;1;0,225;
0,48;1;0,21951;
0,49;1;0,21951;
0,50;1;0,21951;
0,51;1;0,21429;
0,52;1;0,19565;
0,53;1;0,1875;
0,54;1;0,1875;
0,55;1;0,18367;
0,56;1;0,17647;
0,57;1;0,17647;
0,58;1;0,17647;
0,59;1;0,17647;
0,60;1;0,17308;
0,61;1;0,17308;
0,62;1;0,16667;
0,63;1;0,16667;
0,64;1;0,16071;
0,65;1;0,15789;
0,66;1;0,15789;
0,67;1;0,15789;
0,68;1;0,15;
0,69;1;0,14286;
0,70;1;0,14286;
0,71;1;0,14286;
0,72;1;0,14062;
0,73;1;0,13846;
0,74;1;0,13235;
0,75;1;0,13235;
0,76;1;0,13235;
0,77;1;0,13043;
0,78;1;0,13043;
0,79;1;0,13043;
0,80;1;0,13043;
0,81;1;0,12857;
0,82;1;0,12857;
0,83;1;0,12857;
0,84;1;0,12857;
0,85;1;0,12857;
0,86;1;0,12857;
0,87;1;0,12857;
0,88;1;0,12857;
0,89;1;0,12857;
0,90;1;0,12857;
0,91;1;0,12857;
0,92;1;0,12857;
0,93;1;0,12857;
0,94;1;0,12857;
0,95;1;0,12857;
0,96;1;0,12857;
0,97;1;0,12857;
0,98;1;0,12857;
0,99;1;0,12857;
1,00;1;0,12857;
