Step;RecallED;PrecisionED;RecallLCS;PrecisionLCS;RecallPM;PrecisionPM
0,05;0,30833;0,73664;0,35556;0,64561;0,69231;1;
0,10;0,34167;0,73188;0,34167;0,73188;0,6;1;
0,15;0,47694;0,69618;0,47694;0,69618;0,52941;1;
0,20;0,34498;0,72489;0,32669;0,72016;0,45;1;
0,25;0,31319;0,86154;0,45288;0,91427;0,3913;1;
0,30;0,37367;0,90717;0,36373;0,92683;0,34615;1;
0,35;0,33626;0,91924;0,31983;0,90885;0,29032;1;
0,40;0,3086;0,92611;0,29283;0,91292;0,26471;1;
0,45;0,41923;0,94226;0,3285;0,93181;0,225;1;
0,50;0,349;0,96153;0,35729;0,98148;0,2093;1;
0,55;0,31807;0,96795;0,31779;0,96181;0,18367;1;
0,60;0,27937;0,98472;0,289;0,9842;0,16981;1;
0,65;0,2619;0,98512;0,27035;0,98464;0,15789;1;
0,70;0,23938;0,99792;0,23552;0,99614;0,14286;1;
0,75;0,22143;0,99792;0,22711;0,99786;0,13235;1;
0,80;0,18845;0,99807;0,19255;0,99802;0,12857;1;
0,85;0,17647;1;0,18;1;0,12857;1;
0,90;0,15254;1;0,15254;1;0,12857;1;
0,95;0,14286;1;0,14286;1;0,12857;1;
