Bucket;Recall;Precision;
;;;
0,25;;;
;;;
B1;0.71875;0.88461536;
B2;0.37;0.43023255;
B3;0.03125;1.0;
B4;0.03125;1.0;
B5;0.31111112;1.0;
B6;0.63;0.71590906;
B7;0.1;1.0;
;;;
0,50;;;
;;;
B1;0.1875;1.0;
B2;0.59375;0.7916667;
B3;0.0625;1.0;
B4;0.03125;1.0;
B5;0.03125;1.0;
B6;0.03125;1.0;
B7;0.03125;1.0;
B8;0.03125;0.5;
B9;0.42222223;1.0;
B10;0.44444445;0.95238096;
B11;0.022222223;1.0;
B12;1.0;1.0;
B13;0.33333334;1.0;
B14;1.0;0.8333333;
B15;1.0;0.990099;
B16;0.5;1.0;
B17;0.5;1.0;
B18;0.5714286;1.0;
B19;0.8;1.0;
B20;0.1;1.0;
;;;
0,75;;;
;;;
B1;0.0625;1.0;
B2;0.5;1.0;
B3;0.03125;1.0;
B4;0.03125;1.0;
B5;0.03125;1.0;
B6;0.03125;1.0;
B7;0.03125;1.0;
B8;0.03125;1.0;
B9;0.03125;1.0;
B10;0.03125;1.0;
B11;0.03125;1.0;
B12;0.09375;1.0;
B13;0.03125;1.0;
B14;0.03125;1.0;
B15;0.08888889;1.0;
B16;0.4888889;1.0;
B17;0.15555556;1.0;
B18;0.08888889;1.0;
B19;0.06666667;1.0;
B20;0.022222223;1.0;
B21;0.022222223;1.0;
B22;0.022222223;1.0;
B23;0.022222223;1.0;
B24;0.022222223;1.0;
B25;1.0;1.0;
B26;0.33333334;1.0;
B27;0.33333334;1.0;
B28;0.33333334;1.0;
B29;0.73333335;0.9166667;
B30;0.13333334;1.0;
B31;0.06666667;1.0;
B32;0.06666667;1.0;
B33;1.0;1.0;
B34;0.5;1.0;
B35;0.5;1.0;
B36;0.2857143;1.0;
B37;0.42857143;1.0;
B38;0.14285715;1.0;
B39;0.9;1.0;
B40;0.1;1.0;
