Bucket;Recall;Precision;
;;;
0,25;;;
;;;
B1;0.71875;0.88461536;
B2;1.0;0.6329114;
B3;0.03125;1.0;
B4;0.03125;1.0;
B5;0.2888889;1.0;
B6;1.0;0.88235295;
B7;0.1;1.0;
;;;
0,50;;;
;;;
B1;0.1875;1.0;
B2;0.625;0.71428573;
B3;0.0625;1.0;
B4;0.03125;1.0;
B5;0.03125;1.0;
B6;0.03125;1.0;
B7;0.03125;1.0;
B8;0.37777779;1.0;
B9;0.44444445;0.95238096;
B10;0.022222223;1.0;
B11;1.0;1.0;
B12;0.33333334;1.0;
B13;0.33333334;1.0;
B14;1.0;0.8333333;
B15;1.0;0.990099;
B16;0.5;1.0;
B17;0.5714286;1.0;
B18;0.8;1.0;
B19;0.1;1.0;
;;;
0,75;;;
;;;
B1;0.0625;1.0;
B2;0.53125;1.0;
B3;0.03125;1.0;
B4;0.03125;1.0;
B5;0.03125;1.0;
B6;0.03125;1.0;
B7;0.03125;1.0;
B8;0.03125;1.0;
B9;0.03125;1.0;
B10;0.03125;1.0;
B11;0.03125;1.0;
B12;0.09375;1.0;
B13;0.03125;1.0;
B14;0.08888889;1.0;
B15;0.6;1.0;
B16;0.044444446;1.0;
B17;0.08888889;1.0;
B18;0.06666667;1.0;
B19;0.022222223;1.0;
B20;0.022222223;1.0;
B21;0.022222223;1.0;
B22;0.022222223;1.0;
B23;0.022222223;1.0;
B24;1.0;1.0;
B25;0.33333334;1.0;
B26;0.33333334;1.0;
B27;0.33333334;1.0;
B28;0.73333335;0.84615386;
B29;0.13333334;1.0;
B30;0.06666667;1.0;
B31;0.06666667;1.0;
B32;1.0;1.0;
B33;0.5;1.0;
B34;0.5;1.0;
B35;0.14285715;1.0;
B36;0.42857143;1.0;
B37;0.14285715;1.0;
B38;0.9;1.0;
B39;0.1;1.0;
