Bucket;Recall;Precision;
;;;
0,25;;;
;;;
B1;0.28125;1.0;
B2;0.125;1.0;
B3;0.375;1.0;
B4;0.03125;1.0;
B5;0.0625;1.0;
B6;0.03125;1.0;
B7;0.03125;1.0;
B8;0.03125;1.0;
B9;0.03125;1.0;
B10;1.0;1.0;
B11;1.0;1.0;
B12;0.33333334;1.0;
B13;0.33333334;1.0;
B14;0.33333334;1.0;
B15;1.0;1.0;
B16;1.0;1.0;
B17;0.5;1.0;
B18;0.5;1.0;
B19;0.2857143;1.0;
B20;0.5714286;1.0;
B21;0.14285715;1.0;
B22;0.9;1.0;
B23;0.1;1.0;
;;;
0,50;;;
;;;
B1;0.03125;1.0;
B2;0.0625;1.0;
B3;0.03125;1.0;
B4;0.03125;1.0;
B5;0.21875;1.0;
B6;0.03125;1.0;
B7;0.0625;1.0;
B8;0.03125;1.0;
B9;0.03125;1.0;
B10;0.03125;1.0;
B11;0.03125;1.0;
B12;0.03125;1.0;
B13;0.0625;1.0;
B14;0.03125;1.0;
B15;0.03125;1.0;
B16;0.09375;1.0;
B17;0.03125;1.0;
B18;0.03125;1.0;
B19;0.03125;1.0;
B20;0.03125;1.0;
B21;0.03125;1.0;
B22;0.35555556;1.0;
B23;0.42222223;1.0;
B24;0.13333334;1.0;
B25;0.06666667;1.0;
B26;0.022222223;1.0;
B27;1.0;1.0;
B28;0.33333334;1.0;
B29;0.33333334;1.0;
B30;0.33333334;1.0;
B31;0.93333334;1.0;
B32;0.06666667;1.0;
B33;1.0;1.0;
B34;0.5;1.0;
B35;0.5;1.0;
B36;0.2857143;1.0;
B37;0.42857143;1.0;
B38;0.14285715;1.0;
B39;0.14285715;1.0;
B40;0.9;1.0;
B41;0.1;1.0;
;;;
0,75;;;
;;;
B1;0.03125;1.0;
B2;0.03125;1.0;
B3;0.03125;1.0;
B4;0.03125;1.0;
B5;0.21875;1.0;
B6;0.03125;1.0;
B7;0.0625;1.0;
B8;0.03125;1.0;
B9;0.03125;1.0;
B10;0.03125;1.0;
B11;0.03125;1.0;
B12;0.03125;1.0;
B13;0.0625;1.0;
B14;0.03125;1.0;
B15;0.03125;1.0;
B16;0.03125;1.0;
B17;0.03125;1.0;
B18;0.03125;1.0;
B19;0.03125;1.0;
B20;0.03125;1.0;
B21;0.03125;1.0;
B22;0.03125;1.0;
B23;0.03125;1.0;
B24;0.03125;1.0;
B25;0.022222223;1.0;
B26;0.24444444;1.0;
B27;0.11111111;1.0;
B28;0.022222223;1.0;
B29;0.044444446;1.0;
B30;0.06666667;1.0;
B31;0.15555556;1.0;
B32;0.022222223;1.0;
B33;0.022222223;1.0;
B34;0.022222223;1.0;
B35;0.044444446;1.0;
B36;0.022222223;1.0;
B37;0.022222223;1.0;
B38;0.022222223;1.0;
B39;0.022222223;1.0;
B40;0.044444446;1.0;
B41;0.022222223;1.0;
B42;0.022222223;1.0;
B43;0.022222223;1.0;
B44;0.022222223;1.0;
B45;1.0;1.0;
B46;0.33333334;1.0;
B47;0.33333334;1.0;
B48;0.33333334;1.0;
B49;0.26666668;1.0;
B50;0.06666667;1.0;
B51;0.06666667;1.0;
B52;0.06666667;1.0;
B53;0.06666667;1.0;
B54;0.06666667;1.0;
B55;0.2;1.0;
B56;0.06666667;1.0;
B57;0.06666667;1.0;
B58;0.06666667;1.0;
B59;1.0;1.0;
B60;0.5;1.0;
B61;0.5;1.0;
B62;0.14285715;1.0;
B63;0.42857143;1.0;
B64;0.14285715;1.0;
B65;0.14285715;1.0;
B66;0.14285715;1.0;
B67;0.9;1.0;
B68;0.1;1.0;
